,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,eggnog,224,10.6,6.6,3.3,0.5,20.4,20.4,11.6,0,149.9,0.1,209.7,0.1,0.074,0.020,0.006,0.5,0.3,1.1,0.1,3.8,0.055,0.5,0.011,330.2,0.051,0.5,48.3,0.024,276.9,419.1,0.094,1.2,377.2
1,1,beer light,96,0,0,0,0,5.4,0.3,0.8,0,0,0.095,313.1,0,0.083,0.079,0,0.069,1.3,0.067,0.1,0,0,0,0,13.2,0.095,0.014,16.5,0.094,39.6,69.3,0.077,0.044,19.456
2,2,beer budweiser,12,0,0,0,0,0.9,0,0.1,0,0,0.095,27.4,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.095,0,2.1,0.038,3.8,9.7,0,0,2.2
3,3,weizenbier erdinger,220,18,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4,4,beer light budweiser,9,0,0,0,0,0.4,0,0.066,0,0,0.016,28,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.088,0,2.1,0.007,3.2,7.7,0,0,1.32
5,5,beer,142,0,0,0,0,11.7,0,1.5,0,0,0.067,303.5,0,0.093,0.062,0,0.017,1.7,0.1,0.2,0,0,0,0,13.2,0.096,0.031,19.8,0.085,46.2,89.1,0.087,0.001,26.436
6,6,root beer,202,0,0,0,0,52.3,52.3,0,0,0,0.068,440.2,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0.037,0.2,4.9,0.059,0,4.9,0.095,52.334
7,7,whiskey sour mix,26,0.072,0.069,0.034,0.012,6.3,6.3,0.051,0,0,0.073,23.1,0,0.089,0,0,0.070,0,0.032,0,0.8,0,0,0,0.6,0,0.047,0.3,0,1.8,8.3,0.015,0.080,7.914
8,8,whiskey sour,158,0,0.018,0.092,0.024,13.9,0,0,0,0,0.067,77,0,0.035,0,0,0.092,0.003,0.050,0,1.7,0,0,0,1.1,0.019,0.047,1.1,0.010,6.4,5.3,0.030,0.069,16.717
9,9,tequila sunrise,232,0.2,0,0,0,23.8,0,0.6,0,0,0.1,166.3,0,0.085,0.010,0,0.015,0.4,0.2,0.1,40.7,0,0,0,0,0.010,0.038,14.8,0.046,21.1,21.1,0,1.3,65.357
10,10,daiquiri,112,0.036,0.063,0.038,0.012,4.2,3.3,0.035,0.001,0,0.008,41.8,0,0.021,0.047,0,0.065,0.022,0.074,0.003,1,0,0.092,0.009,1.8,0.098,0.033,1.2,0.040,3,12.6,0.040,0.091,7.243
11,11,pina colada,245,2.7,2.3,0.1,0.035,32,31.5,0.6,0.4,0,0.089,91.6,0,0,0.038,0.038,0,0.002,0.2,0.010,0.019,6.9,0,0.056,0.080,11.3,0.1,0.3,11.3,0.7,9.9,100.1,0.064,35.877
12,12,whiskey,58,0,0,0,0,0.100,0.078,0,0,0,0,14.7,0,0.085,0,0,0.056,0.073,0,0,0,0,0,0,0,0.037,0.072,0,0.092,0.7,0.2,0,0.020,0.127
13,13,rum,49,0,0,0,0,0,0,0,0,0,0.053,14,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0.055,0.045,0,0.093,1.1,0.4,0,0.050,0.049
14,14,vodka smirnoff,13,0.4,0.013,0.077,0.073,2,0.082,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
15,15,coffee liqueur,96,0.038,0.096,0.030,0.042,13.8,13.7,0.041,0,0,0.093,9.1,0,0.042,0,0,0.075,0.045,0,0,0,0,0,0,0.3,0.019,0.020,0.9,0.011,1.8,8.9,0.053,0.097,14.241
16,16,gin,53,0,0,0,0,0,0,0,0,0,0.029,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.0
17,17,dessert wine sweet,165,0,0,0,0,14.1,8,0.2,0,0,0.047,72.6,0,0.081,0,0,0.003,0.2,0.079,0,0,0,0,0,8.2,0.040,0.2,9.3,0.1,9.3,94.8,0.060,0.074,22.7
18,18,chenin blanc white wine,118,0,0,0,0,4.9,0,0.1,0,0,0,128.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
19,19,gamay red wine,115,0,0,0,0,3.5,0,0.1,14.4,0,0,0,128.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.6
20,20,late harvest white wine,172,0,0,0,0,20.6,0,0.1,13.1,0,0,0,119.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.6
21,21,gewurztraminer white wine,119,0,0,0,0,3.8,0,0.1,0,0,0,127.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
22,22,burgundy red wine,172,0,0,0,0,7.4,0,0.1,0,0,0,171.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5
23,23,zinfandel red wine,129,0,0,0,0,4.2,0,0.1,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3
24,24,muller thurgau white wine,112,0,0,0,0,5.2,0,0.1,13.3,0,0,0,129.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.8
25,25,mouvedre red wine,129,0,0,0,0,3.9,0,0.1,16.5,0,0,0,126.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.6
26,26,table wine,123,0,0,0,0,4,1.2,0.1,0,0,0.087,128.1,0,0.051,0.084,0,0.014,0.2,0.023,0.022,0,0,0,0,11.8,0.049,0.5,16.3,0.2,29.6,146.5,0.012,0.2,16.4
27,27,wine light,73,0,0,0,0,1.7,1.7,0.1,0,0,0.046,136.5,0,0,0.035,0,0.039,0.1,0,0.097,0,0,0,0,13.3,0.100,0.6,14.8,0,22.2,130.2,0.014,0.1,15.7
28,28,white wine,121,0,0,0,0,3.8,1.4,0.1,0,0,0.098,127.7,0,0.040,0.081,0,0.003,0.2,0.094,0.034,0,0,0,0.071,13.2,0.097,0.4,14.7,0.2,26.5,104.4,0.036,0.2,17.5
29,29,petite sirah red wine,125,0,0,0,0,3.9,0,0.1,15.7,0,0,0,126.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.4
30,30,non alcoholic wine,2,0,0,0,0,0.3,0.3,0.1,0,0,0.095,29,0,0,0.027,0,0.019,0.093,0,0.064,0,0,0,0,2.7,0.035,0.1,3,0,4.4,26,0.052,0.088,3.2
31,31,pinot noir red wine,121,0,0,0,0,3.4,0,0.1,0,0,0,127.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
32,32,pinot gris grigio white wine,122,0,0,0,0,3,0,0.1,0,0,0,127.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
33,33,riesling white wine,118,0,0,0,0,5.5,0,0.1,0,0,0,128.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
34,34,barbera red wine,170,0,0,0,0,5.6,0,0.1,0,0,0,172.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
35,35,lemberger red wine,118,0,0,0,0,3.6,0,0.1,15,0,0,0,127.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.6
36,36,merlot red wine,122,0,0,0,0,3.7,0.9,0.1,0,0,0.011,127.3,0,0.087,0.064,0,0.010,0.3,0.081,0.061,0,0,0,0,11.8,0.026,0.7,17.6,0.2,33.8,186.7,0.083,0.2,16.3
37,37,sangiovese red wine,126,0,0,0,0,3.9,0,0.1,0,0,0,126.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
38,38,sauvignon blanc white wine,119,0,0,0,0,3,0,0.1,0,0,0,128.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
39,39,syrah red wine,122,0,0,0,0,3.8,0,0.1,0,0,0,127.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
40,40,carignane red wine,370,0,0,0,0,12,0,0.4,0,0,0,439.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4
41,41,pinot blanc white wine,119,0,0,0,0,2.9,0,0.1,0,0,0,128.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
42,42,semillon white wine,121,0,0,0,0,4.6,0,0.1,14.9,0,0,0,128.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.7
43,43,dessert wine dry,760,0,0,0,0,58.4,5.5,1,76.5,0,0,0.062,362.7,0,0.033,0,0,0.096,1.1,0.2,0,0,0,0,0,40,0.2,1.2,45,0.6,45,460,0.066,498.8
44,44,red wine,125,0,0,0,0,3.8,0.9,0.1,0,0,0.027,127.1,0,0.010,0.018,0,0.073,0.3,0.049,0.044,0,0,0,0.066,11.8,0.017,0.7,17.6,0.2,33.8,186.7,0.074,0.2,16.4
45,45,cabernet sauvignon red wine,166,0,0,0,0,5.2,0,0.1,0,0,0,173.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3
46,46,muscat white wine,123,0,0,0,0,7.8,0,0.1,0,0,0,128.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9
47,47,cooking wine,2,0,0,0,0,0.3,0.090,0.028,0,0,0.002,4.4,0,0,0.077,0,0.016,0.094,0,0.072,0,0,0,0,0.4,0.021,0.100,0.5,0,0.7,4.3,0.079,0.085,0.879
48,48,chardonnay white wine,168,0,0,0,0,4.3,1.9,0.1,0,0,0.027,173.7,0,0.092,0.002,0,0.039,0.2,0.090,0.1,0,0,0,0,18,0.054,0.5,20,0.2,36,142,0.017,0.2,22.9
49,49,claret red wine,122,0,0,0,0,4.4,0,0.1,15,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.5
50,50,rice sake,197,0,0,0,0,7.4,0,0.7,0,0,0.046,115.2,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0.051,0.1,8.8,0,8.8,36.8,0.057,0.092,15.6
51,51,fume blanc white wine,121,0,0,0,0,3.3,0,0.1,15.4,0,0,0,127.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.7
52,52,cabarnet franc red wine,122,0,0,0,0,3.6,0,0.1,0,0,0,127.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
53,53,chocolate frosting,81,3.6,1.1,1.8,0.5,13,11.8,0.2,0.2,0,0.025,3.5,0,0.026,0.069,0,0.097,0.024,0.005,0.085,0,0,0.3,0,1.6,0.045,0.3,4.3,0.064,16.2,40.2,0.094,0.062,18.9
